Uniprot	Pref_Name	Gene ID	Target_Class	Organism	Near_Neighbor_ChEMBLID	Near_Neighbor_Smiles	Near_Neighbor_Bioactive_organism	Near_Neighbor_conf_score	NN_activity	NN_Units	Input_Compound	Similarity
Q8N568	Serine/threonine-protein kinase DCLK2	166614	Kinase	Homo sapiens	CHEMBL1673039	COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C	Homo sapiens	8	8.0	Kd	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.785714285714
Q13470	Non-receptor tyrosine-protein kinase TNK1	8711	Kinase	Homo sapiens	CHEMBL1673039	COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C	Homo sapiens	8	7.54	Kd	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.785714285714
Q13164	Mitogen-activated protein kinase 7	5598	Kinase	Homo sapiens	CHEMBL1673039	COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C	Homo sapiens	8	7.72	Kd	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.785714285714
Q07912	Tyrosine kinase non-receptor protein 2	10188	Kinase	Homo sapiens	CHEMBL1673039	COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C	Homo sapiens	8	6.36	Kd	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.785714285714
O15075	Serine/threonine-protein kinase DCLK1	9201	Kinase	Homo sapiens	CHEMBL1673039	COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C	Homo sapiens	8	8.92	Kd	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.785714285714
O14976	Serine/threonine-protein kinase GAK	2580	Kinase	Homo sapiens	CHEMBL1673039	COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C	Homo sapiens	8	6.35	Kd	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.785714285714
Q5S007	Leucine-rich repeat serine/threonine-protein kinase 2	120892	Kinase	Homo sapiens	CHEMBL2012582	COc1cc(C(=O)N2CCC(N3CCN(C)CC3)CC2)ccc1Nc1ncc2c(n1)N(C)c1ccccc1C(=O)N2C	Homo sapiens	9	8.46	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.545454545455
Q05397	Focal adhesion kinase 1	5747	Kinase	Homo sapiens	CHEMBL3657341	COc1cc(N2CCN(C)CC2)ccc1Nc1ncc(C(F)(F)F)c(Oc2cccc3c2C(=O)N(C)C3)n1	Homo sapiens	9	9.0	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.511363636364
Q9UM73	ALK tyrosine kinase receptor	238	Kinase	Homo sapiens	CHEMBL3669152	COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2sc(C(C)(C)O)c(-c3ccccc3OC)c2n1	Homo sapiens	9	6.89	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.505882352941
P06748	Nucleophosmin	4869	Other	Homo sapiens	CHEMBL1822519	COc1cc(N2CCN(C)CC2)ccc1Nc1ncc2ccc(-c3ccccc3OC)n2n1	Homo sapiens	7	7.0	IC50	O=C1N(CC(F)(F)F)C2=CN=C(NC3=CC=C(N4CCN(C)CC4)C=C3OC)N=C2N(C)C5=CC=CC=C15	0.493827160494
