Genes	PAU89988T_24h
SQLE	1.53875893796534
HMGCS1	1.73744818730496
INSIG1	1.52869956481577
HMGCR	1.1041204537951
C14orf1	1.11241248890087
CYP51A1	1.33407990413811
SCD	0.949615041126025
ELOVL6	0.99309228792133
HSD17B7	1.82145928329126
IDI1	1.44402631948905
IDH1	0.737562795069655
ACAT2	0.995405488349224
FDFT1	1.16396712860458
ACSS2	1.02449835240067
DHCR7	1.37391722152671
LSS	1.18377349683351
FGFBP1	1.01941223398014
MVK	1.15165725740935
MSMO1	1.60453277535148
LDLR	0.647045823065035
RDH11	0.58087391695749
MMAB	0.835804181252739
ALDOC	1.05009724472815
SC5D	1.22982687145868
STARD4	1.63121708018967
SREBF2	0.874804644546471
PCSK9	1.14832549287225
PANK3	0.46187829149859
LPIN1	0.543770396712219
OLMALINC	0.916675925128758
TMEM97	0.512115600926889
TXNIP	-0.142149771823416
PAX8-AS1	0.621214834736893
POLM	0.504591597780289
ACSL4	0.870395357202794
TDRKH	0.454723716909704
FAM25A	-2.51973439566917
ZNF337-AS1	0.020211721400309
DHCR24	0.787990756022141
HYAL1	0.905592239591632
ACSL3	0.45301937472577
GPR75-ASB3	-0.957831129510843
NSDHL	0.61007408745603
BHLHE40	0.774390129744549
MICA	0.606020047778735
CNN3	0.364424231189873
MYLIP	-0.367419532725006
MVD	0.967836915145175
LOC101930071	0.288377305540084
NINJ1	-0.313150143049412
CYB5B	0.40605399701357
PKN3	-0.421335788304913
ABCA1	-1.22806470831007
TM7SF2	0.951555445575309
IFITM1	-0.0587017309473881
NPC1	0.443823881067828
FDPS	0.660740103433527
RNF145	0.0724166744110395
STXBP1	0.454749724006789
RNF208	-0.966596628649336
LCP1	0.583842784393521
FAM209B	-1.15694208499292
DBI	0.495206141631552
MIR573	-0.0443075024031747
HSD17B12	0.437551067543203
HBEGF	0.0566816806813364
ASB3	0.388795746168378
MYBBP1A	-0.114828785918002
HDDC2	-0.0636586349984638
RRP9	-0.143307770679414
RNASEK	-0.0194712823122645
IFIT2	0.171292242477669
JUN	0.134798373286666
STX3	0.348345886377661
NUDT13	-0.0895429569235233
MED25	-0.31862386237918
LIPG	1.05957006293545
LOC645513	0.152487315421405
LOC101928794	0.396469790247646
GAL	-0.0435562866761311
SYNE2	0.350563467041134
NOL6	-0.191283655366883
CASP8AP2	0.214457402633344
NFKB2	-0.2101415211481
AACS	-0.090920835061417
LRP8	0.632425553463785
ZNF787	-0.0511550625256767
RARRES3	-0.0750280916521184
ITGA2	0.342115221588492
PDP2	0.391014939006818
PTMS	0.465224737629667
FAM104B	0.357750354353594
PAQR4	-0.0638965920523011
TFRC	0.037765547384673
EBP	0.556492026312032
LIPA	0.405951864856995
SLC5A3	0.457071686273495
UCA1	0.413275171428861
RNASET2	-0.332621519173367
NXN	-0.494648997886258
FASN	0.590114965086292
ABL2	0.270297666131737
JMJD1C	0.23162031622162
COL4A3BP	0.25638076869221
ID2	0.0459013052079271
DENND5B	0.27041055887041
C6orf141	-0.345011487047038
UQCRHL	0.161198410906701
SWAP70	0.206343986623924
RRAGC	0.226872504382246
AFF4	0.2075972821076
ING4	-0.223258103902347
CD58	0.755828777679849
EMC2	0.109491762121968
KIAA1551	0.229600949761818
TTLL5	0.300339084283186
LPCAT3	-0.338840919985628
NXPE3	0.335209017788797
GMPR	0.107450723593278
SLC29A2	0.390879518807639
ZFP30	-0.0632324406602494
PLAT	0.727309306111394
SIRT2	0.211852459204822
EGR1	0.571631147538481
GNE	0.285768246087632
KCTD14	-0.800472283493003
LNPEP	0.2091296971531
NDUFV3	0.0626483812031422
STK19	-0.704394559793446
ITPR2	0.468487770038265
MMP24-AS1	-0.195149800976258
ZNF616	-0.00573789321300389
ANKRD1	-0.0428324256897605
ZBTB38	0.229174473699191
CDC37L1-AS1	0.510464258418611
ACOT1	0.476134360413297
GOLGA4	0.245974254946536
EHD2	0.236560373077053
DST	0.132017790986938
PCMTD1	0.582079080149132
NIPBL	0.218514606425697
FBXW5	-0.358918089668338
MEF2B	0.537729945920093
CHTF18	-0.503283706155808
TRAPPC5	-0.140847407006821
MEF2D	0.152470317684116
ZNF514	0.371886109342185
PANK1	0.535660927210447
HSPB1	0.0732797171842119
DHX37	-0.0204116875333273
XPA	0.177233333861525
G0S2	0.347395211990303
OSGIN2	0.105300323738201
R3HCC1	-0.196956139739428
USP34	0.133785431758807
TRAPPC2	-0.134209224791051
BCKDK	-0.0482896642706603
DNAJB4	0.390422931633327
HLA-DRA	-0.296224819151649
PDGFB	-0.456291442687591
GRPR	0.0879234730535474
INF2	-0.120959190885475
DGAT1	-0.243891231650007
GEM	0.300816701200181
GULP1	0.354212564624919
RUSC2	-0.0276574704990034
PANDAR	0.240481754321503
RPS14P3	0.466808563982772
TSSC4	-0.112914260619651
SLC39A4	0.153442356896148
NUCB2	0.250937560506929
MAFF	0.171186061822344
RANBP2	0.171977598994445
TCIRG1	-0.43981452845805
CCNG2	0.415332873667462
TBL3	-0.177189560031886
RMND5A	0.200687949679365
CDC42EP1	-0.0542570293277072
TMEM60	0.105986943641424
PPAN	-0.209655858512794
CRYBG3	0.378449914261539
HAUS3	0.142233283099268
TTLL12	-0.221889184009865
AKAP13	0.387416164988243
MRPS11	-0.134977156457568
C14orf159	0.161912139629147
REV3L	0.239218386868359
MYEOV	-0.257029542191145
CENPT	0.188672898507051
LPP	0.339298053201793
HBP1	0.133273678300273
MIATNB	-0.600278054072723
PCSK1N	-0.0506086166230101
PPP1R3B	0.175629353792661
CCDC86	-0.0840930149438188
AHNAK2	0.376028067375655
STEAP1	0.115534042944141
RIMKLB	0.254436057659931
TM4SF19-AS1	-0.836934353731456
GPRC5B	0.340259760398769
AKAP9	0.349283941410721
KTN1	0.142455813632127
TERF2IP	0.1895510572355
HERC4	0.13991269731598
ME1	0.307797090259537
BOP1	-0.048783353019215
NCOR2	0.0311409340498088
STIM1	0.167872396825379
MGMT	0.080934933666402
TAOK1	0.219845881834893
THBS1	0.0796650875101399
ZNF354C	-0.0434642852384583
LAGE3	-0.675887863912737
MIR137	-0.0452270351199597
CENPE	0.219443772991902
KBTBD4	-0.325802764117846
CHERP	-0.107738144374075
POLRMT	-0.325298752947745
MTHFD1L	-0.166667064718964
ATF2	0.38209422921831
SLC12A8	-0.0876433874423044
ZNF260	0.282650819294961
KLK8	-1.27559035710929
KDM5B	0.424305696979702
BMPR2	0.24489385738601
TP53	-0.297172617784181
GARS	-0.0489950973960678
CENPM	-0.563786901983134
ZNF292	0.278020850831807
EMC9	-0.235909660550251
TMEM131	0.140358578746422
ACD	-0.0722238521686505
VPS26A	0.0100709508350665
TRNP1	0.187275420529493
TTC39B	0.53101222951436
CTGF	-0.0824452753750822
PJA2	0.135624090150031
ARHGAP10	-0.0169582413841143
DALRD3	-0.421132828920143
MFGE8	0.103979200193632
GCSHP3	0.153092768042119
PIK3CA	0.244405190045062
GPR137	-0.160345402514745
FXN	-0.461741232931074
RNF219	0.205279989253621
PNPLA8	0.320616709044886
CLASRP	-0.0962218648896398
EEPD1	-0.190272365268982
PITX1	-0.372727637339402
PHF3	0.218629073490735
SNAI2	0.372867819978508
TNNC1	0.0500597812816305
CDT1	-0.305490803083678
UVRAG	0.194624492446402
BOD1L1	0.226548763350752
B3GNT5	0.257294661048025
ARL14	0.488550624667668
SOX9	0.162325033195446
LINC01604	0.666905057441367
GLRX	-0.264170653830961
DBN1	-0.116765406291154
ETNK2	-0.314153656866908
MICB	0.455101125607236
ELOF1	-0.0720639046200509
ZMIZ2	-0.0423641136774098
RHEBL1	-0.647583713234444
CD46	0.323654715451098
VHL	-0.0451875762246292
ORAI1	0.113725378664709
ABCD1	-0.485392304798888
UPF3A	0.236517793801655
DENND6A	0.212046735503915
RNF126	-0.214246987580489
ZFYVE16	0.215595330604859
CCDC88A	0.184641733441892
GTPBP3	-0.200056738213479
LOC100133985	-0.727822904628752
ZNF140	0.154683725412252
THBS3	-0.276830960798962
MCOLN3	0.21226691376466
PEG10	0.223051879969588
MED22	-0.164367621349164
PFAS	-0.0699844219750352
ZC3H3	-0.20322703101438
TOR3A	-0.230256460006045
CLUH	-0.21658361539628
PRPF38B	0.133130209188508
FNIP1	0.346113429743366
ZNF654	0.339111554559296
ZUFSP	0.226286999366049
POLR3D	0.202168919542935
EXD3	-0.294138643995395
ZNF429	0.552071202305131
ACACA	0.241980820728327
AKAP12	0.109161875789631
RAD17	0.212440040262893
FAM220A	0.311147426741805
CHKA	0.146599063622445
MAP3K14	-0.192889821735409
ARHGDIB	-0.0014040870707408
SLC25A22	-0.191929864528354
DNAJC1	0.233112537490064
CXXC1	-0.17233483581739
BLOC1S1	-0.142300795765004
INSIG2	0.15675138288864
ATM	0.0974088027618416
DNAJC13	0.105078488474189
ATAD3B	0.178169948767521
LPCAT1	0.236779344328251
ZNF277	0.209513344011325
RNF19B	0.300712357078766
COPG2	-0.390652111012649
ITSN1	0.377623383666549
UPF3B	0.100222801690675
CCNE2	0.186310441837357
MYL5	-0.363687672730016
LINC00941	0.167048718151287
TCAF1	0.0227433502763463
BMP2K	0.239108201434103
HERC5	0.413051189444638
KCTD17	-0.446600361283835
EHD1	-0.121856066050079
AFMID	-0.17768927573701
C2orf54	-0.474265605446719
HOXB-AS3	0.770081397309383
PES1	-0.109531773880899
LOC101928402	-0.0637942450735719
TMEM56-RWDD3	-0.91219298579269
RBM41	0.190587656028937
TMEM170B	0.577760817656807
ZFP91	0.0522472186811322
LGALSL	0.263374103594377
TROVE2	0.136458099844525
RHBDD2	-0.332868871367952
BCS1L	-0.312139470044444
TAF6L	-0.390112103846036
ST7	0.148882313775126
CEP57	0.0973537247598433
CIR1	0.0441997954820934
DHRS4	0.371909731663989
ANKRD12	0.271371111701416
BOK	-0.295257565700811
MEF2BNB-MEF2B	-0.742059244849739
GCNT2	0.237179748327496
CCDC77	0.0319740948348333
URB1-AS1	-0.72310685097859
TMEM223	0.0286065030879641
ROCK2	0.142138732783335
DMXL1	0.200612473514916
TMEM208	-0.530124819514039
TBC1D17	0.42293350528303
LINC00665	-0.0384829317639781
CD276	0.111494451547309
NDUFB3	0.0626078620688011
PDE8A	0.223912240220586
CHID1	-0.211231429930972
ESCO1	0.267638752161571
MARS	-0.224421340078458
SNX13	0.0928610068992128
ABR	-0.0192355033901084
PHOSPHO2	0.27456818407408
TFPI	0.582807433802986
LLGL1	-0.0677418856180778
IGF2BP2	0.14875543859699
SLC17A5	-0.0121458666025784
UBR2	0.104784406701117
SGTA	-0.201763262749925
TUBB6	0.047798896004047
CPEB2	0.405954805611372
MTERF2	0.428950166597729
CCSER2	0.393057658344883
ANTXR2	0.131377424664669
TRMT1	-0.245820222799586
FAM102B	0.279726558211721
OSMR	0.263476618074336
NIPAL2	0.293267105285243
CHD9	0.329880326593134
BIRC6	0.130482720317215
FAM195A	-0.536647744108503
ZNF37A	0.315646365671715
ATP6V1H	-0.100308875266086
PTCD1	-0.611992949233244
CCNH	0.0251318580184847
MOSPD2	0.389952112095545
RABEP1	0.348899542695674
MGEA5	0.0489275119691115
ATP11C	0.165217190350254
RICTOR	0.244783386098717
CUL5	0.0780123801232158
BYSL	-0.307639770642273
ANKRD50	0.230264098973528
CD24	0.27438750281655
IBTK	0.107276813762363
TSEN54	-0.0882961299722007
RECQL4	-0.181195337199672
ERCC-00165	-0.10965848227613
TACSTD2	0.139037882597775
MIR1282	-5.8027053395036
C4orf27	0.0545766561474741
CARS2	-0.0836124045610749
RALA	0.16761282238345
FGFRL1	-0.0165513460003996
SYCP2	-0.0832138015081106
KLC2	-0.177353040455246
UTAT33	1.2048831236401
PRPF31	-0.133983019402446
GSK3B	0.174120141838381
AKT1	-0.193615228548646
VPS8	0.209558452352428
SLC1A5	-0.251907557343964
EFNB2	0.157369886653638
TBPL1	0.184230090184682
PIK3C2A	0.339546103240968
SLC25A23	0.346946292757413
SMG1	0.148193751302056
ZNF714	0.185790943702351
SDC3	0.205698018067627
PILRB	-0.165209503262117
MAPK6	0.196507723507178
ABCA3	-0.11037661758941
CTSB	-0.392310862687266
ASH1L	0.220172419534435
ZNF506	-0.224122257698117
KLHDC4	-0.155149162168854
MKLN1	0.123070166124946
OAF	-0.159014147855625
ARL5B	0.31326073171223
TMEM70	0.101696183417832
TIMM10B	0.397170787301369
RIN1	-0.0803983436552373
RAB29	0.26247136068337
ADGRE5	-0.183882084568612
SAMD12-AS1	0.677935399852831
PIGB	0.465914549669583
MRPL2	-0.266304609418547
CLCN3	0.183594828083017
EHBP1	0.116136656218218
RRP7A	-0.124528269278521
MBNL2	0.18854087709988
PRR13	0.206308904850788
SDHA	-0.161512266750533
NF1	0.0737805336552499
SHB	0.00520368312788566
RAVER1	-0.121747136706316
SRM	-0.199027078854527
ATP6V1F	-0.0644136441206964
TUBB3	-0.375772721240246
CASC5	0.148068691238257
CDK7	0.0113226215243944
USP32	0.205694832081882
RAB5A	0.137593308136799
MYADM	0.0534772579623084
STAG2	0.0816438188095931
CCDC85B	-0.429102880422403
PACSIN3	-0.171852618584719
PLEKHA1	0.127378821775441
HNRNPA1P33	-0.0786604173278773
CDK14	0.346466918374278
VPS72	-0.0207506187549571
AARSD1	-0.415668333187299
DKK1	0.0610468893268807
TH	-0.383907537358306
NSUN6	0.172165962521654
KIF20B	0.194663208421757
FRS2	0.12729221759004
CDC42BPA	0.188804027375841
ACTR6	0.0349486984355591
ZNF829	-0.0426249074634405
CD320	-0.631128620249128
ZNF114	0.173293308872184
MID1IP1	0.174248577229468
ELMO3	-0.727676844333172
CIRBP	-0.320445606346006
EFNA3	-0.230321835039533
KPNA5	0.0429695077118013
RRP12	-0.189435558044536
