Gene	DCLK1IN1
TMEM253	-0.541284953
ZFP1	1.167870318
SAMD5	0.671526955
GRAMD1C	1.35657947
PPP1R2P3	1.303938445
TXNDC16	0.870963811
PLA2G10	1.501564141
ZBTB41	0.790140531
CAPS2	0.933385127
MIR17HG	1.781524866
POLI	0.552644801
ANO5	0.495464184
MFSD6L	-0.821085058
PKIA	0.559308533
C14orf28	1.137700489
FAM212A	-0.678175138
RMDN2	1.339510593
LINC00842	1.071931421
ZNF229	0.508403536
MAGEE1	-1.136240029
ZNF287	0.472023557
KRBA2	0.615194791
MFAP2	-1.056070591
CCDC176	0.890553362
ZBTB6	0.70683388
DHRS9	1.594084577
C10orf118	0.847051728
C7orf60	0.777281999
HEY2	-0.577518724
FZD3	0.365244335
MCC	0.399872528
ATP6V1G2-DDX39B	-2.484547881
LTN1	0.520520877
IL32	0.497976911
ASB9	0.93761587
TTBK2	0.704605254
SLC10A7	0.5068739
ZNF532	-0.746385062
ZNF17	0.816785848
GNRH1	0.870942876
TAF5	0.739783048
RHOQ	0.628795858
ZNF774	0.688720415
LACE1	0.566924935
AGPAT4	0.417890625
KIAA1377	0.488351768
LRP12	0.991742447
METTL21B	0.448185015
GLTSCR1L	0.346972559
ZNF567	0.75894525
PDE3B	0.543053239
LGALSL	0.732690247
BRIP1	0.392838258
LOC100506083	-0.86995412
LNX1	-0.700562292
LOC153684	-0.367542168
SERAC1	0.356174488
LOC730102	0.584895732
ZNF181	0.696962636
CEP290	0.707908097
GLDC	-0.714665451
ZNF564	0.72814744
ZFYVE16	0.638254837
VIL1	-1.185522986
TMEM145	-1.192596424
MOB1B	0.646697102
LOC100289230	-0.381991496
TTN-AS1	-0.889303604
KIAA1033	0.608476113
HAUS6	0.779516539
PRKCQ-AS1	0.624589499
STRN	0.423146447
CEP350	0.523442349
ZNF407	-0.403320418
LEAP2	1.678796637
BBS12	0.439928371
ZNF268	0.374805804
ZNF845	0.535105978
SIRT1	0.571589587
USP2	-0.501575177
VWA2	-0.451215765
DIAPH2	0.48666114
ZNF518A	0.361080688
DPRXP4	-0.964256685
PDK1	-0.394906826
TENC1	-0.65219527
SCAPER	0.459108921
TRIQK	0.575939645
WDR63	0.771240416
LINC00662	-0.686848311
HLA-DMA	0.761717899
TPST1	0.499702931
ZNF180	0.506531503
TOB2P1	-0.723194604
ORC4	0.741678601
TBC1D15	0.859195313
