	Spiperone
AARS	-0.679437
ABCF1	-0.36495
ABL1	0.636101
ACAA1	0.380537
ACAT2	-0.139425
ACLY	-0.895134
ADAM10	0.381843
ADH5	-0.0778681
PARP1	0.701319
ADRB2	-0.370033
AGL	0.498305
AKT1	-0.503491
ALAS1	-0.541657
ALDOA	0.560093
ALDOC	0.868331
SLC25A4	0.638211
ANXA7	1.41571
APBB2	1.32116
BIRC2	-1.05019
BIRC5	-0.873366
APOE	0.229328
APP	-0.0501905
FAS	0.588974
RHOA	0.0227816
ARHGAP1	-0.866271
ASAH1	0.249587
ATF1	0.110269
ATP1B1	-0.132934
ALDH7A1	2.16618
ATP6V0B	2.53906
BAD	0.261619
BAX	0.272772
CCND1	0.653017
BCL2	0.0154583
BDH1	-0.405772
BID	-0.342601
BLMH	0.636652
BLVRA	0.975009
BMP4	-0.82523
BNIP3	0.577897
BNIP3L	-1.95441
BPHL	0.581489
BRCA1	0.416511
BTK	-0.0177636
BUB1B	0.620654
C5	1.82899
DDR1	-1.06204
CALM3	-0.068391
CALU	0.841671
CAPN1	0.347392
CAST	0.235162
CASP2	0.25144
CASP3	0.0569366
CASP7	-0.252883
CASP10	0.660781
CAT	2.05458
CBLB	0.923141
CBR1	-0.874411
CBR3	0.529564
CCNA2	0.73723
CCNB1	-0.77428
CCND3	1.07872
CCNF	0.0686423
CCNH	-1.67524
SCARB1	0.77061
CD40	1.68373
CD44	0.937375
CD58	0.481381
ADGRE5	0.394056
CDK1	0.797172
CDC20	0.0758523
CDC25A	0.145792
CDC25B	1.26159
CDC42	-0.131753
CDH3	0.50272
CDK2	-0.48261
CDK4	0.384871
CDK6	0.768117
CDK7	2.19421
CDKN1A	0.0994593
CDKN1B	-0.155755
CDKN2A	-0.616625
CEBPA	0.259572
CEBPD	0.0107718
CENPE	0.145406
CETN3	-0.4419
CHEK1	-0.748316
CHN1	-0.573995
CIRBP	0.99442
CLTB	-0.00243516
CLTC	1.20851
COL1A1	0.326393
COL4A1	1.42716
CREB1	0.265
CRK	1.27343
CRKL	-0.138832
CRYZ	0.224546
CSK	-0.167129
CSNK1A1	-3.22157
CSNK1E	1.53212
CSNK2A2	-0.731657
CSRP1	-0.727323
CTNND1	-0.639069
CTSD	-0.389041
CTSL	1.09738
CYB561	-0.522594
DAG1	0.221916
DAXX	-1.24796
DCK	0.882022
DCTD	0.813275
DDB2	-1.06485
GADD45A	-0.102873
DDX10	-0.128037
DECR1	-0.486362
DFFA	-0.633659
DFFB	0.264956
DLD	-0.560602
DNM1	0.643922
DNMT1	-0.273892
DNMT3A	-0.0706228
DPH2	0.722391
DSG2	1.16038
TSC22D3	0.36981
DUSP3	0.433979
DUSP4	0.780988
DUSP6	0.723
TOR1A	0.127681
E2F2	0.0757242
ECH1	0.837016
EDN1	0.172619
EGF	0.470248
EGFR	-0.722167
EGR1	-0.227428
EIF4EBP1	1.0274
EIF4G1	-0.812061
EIF5	0.876899
ELAVL1	-0.340648
CTTN	0.134702
EPB41L2	0.368767
EPHA3	0.473775
EPHB2	-0.060056
EPRS	0.595484
NR2F6	0.695459
ERBB2	0.0224737
ERBB3	-1.39814
ETFB	-0.141949
ETS1	0.596572
ETV1	0.426741
EXT1	2.67262
EZH2	1.57303
FAH	-0.0609134
PTK2B	0.289268
FAT1	0.692478
FDFT1	-0.180692
FGFR2	-0.871084
FGFR4	-0.071398
FHL2	0.609857
FKBP4	-0.034311
FOXO3	-1.24945
FOS	-0.920615
FPGS	0.285428
FUT1	-0.594558
FYN	-0.856558
SLC37A4	-1.87905
GAA	-1.86996
GABPB1	0.786426
GALE	-1.45948
GAPDH	1.19319
GATA2	0.266601
GATA3	0.337255
GFPT1	0.50121
GHR	-0.852636
GLI2	-0.713595
GLRX	-0.620309
GNA11	-0.675204
GNA15	-0.642102
GNAI1	0.905129
GNAI2	0.797183
GNAS	1.82583
SFN	-1.05577
GPC1	0.814648
GPER1	0.46791
GRB7	1.14826
GRB10	-0.264282
GRN	0.0995766
NR3C1	0.501831
CXCL2	1.22941
GSTM2	-0.125529
GSTZ1	1.53898
MSH6	-0.46352
GTF2A2	-0.601332
GTF2E2	-0.40716
HSD17B10	-0.0188088
HADH	-0.031647
HDAC2	-0.287448
HIF1A	-0.739923
HK1	-0.317576
HLA-DMA	-1.30058
HLA-DRA	-0.0190638
HMGCR	0.546792
HMGCS1	-0.902087
HMOX1	-0.177535
HOXA5	1.27678
HOXA10	0.895129
HPRT1	-0.904555
HES1	-0.408907
DNAJB2	0.35253
HSPA1A	0.789204
HSPA4	-0.349628
HSPA8	-0.240265
HSPB1	-0.467973
HSPD1	0.172313
DNAJB1	0.442704
ICAM1	-0.422101
ICAM3	-0.421736
ID2	1.2104
IDE	0.124869
IFNAR1	-0.732406
IGF1R	1.1265
IGF2R	0.797598
IGFBP3	-0.0782899
IGHMBP2	-0.735288
IKBKB	-0.214206
IL1B	-0.279765
IL4R	-0.385649
IL13RA1	-3.52312
ILK	0.798067
INPP1	0.655665
INSIG1	0.857388
ITGAE	-1.03444
ITGB5	0.715912
JUN	-0.439461
KCNK1	1.24473
KIF5C	-0.408153
KIT	0.0396185
KTN1	0.680489
LAMA3	0.148495
STMN1	-0.122504
LBR	-1.20434
LGALS8	-0.828329
LIG1	1.21126
LIPA	0.168114
LOXL1	1.54792
LRPAP1	-0.0225228
LYN	0.00150234
SMAD3	-0.749606
MAN2B1	0.124622
MAT2A	-0.391703
MBNL1	0.810763
MCM3	-0.128289
ME2	-0.532914
MEF2C	0.305981
MAP3K4	0.259303
MEST	-0.6976
MIF	1.03776
FOXO4	0.503155
MMP1	-0.353964
MMP2	0.144134
MNAT1	-0.644933
MSRA	-1.02148
MUC1	0.511459
MYBL2	-0.102567
MYC	-0.0192691
GADD45B	-0.427242
MYLK	-0.847977
MYO10	0.269923
NCK1	-0.132854
NFATC3	0.502348
NFATC4	1.32643
NFE2L2	-0.884064
NFIL3	0.427201
NFKB2	1.76409
NFKBIA	0.0392638
NFKBIB	0.637311
NFKBIE	0.900229
NIT1	-1.40348
NMT1	1.27308
NOS3	-1.09416
CNOT4	0.304838
NOTCH1	0.566946
PNP	0.959302
NPC1	1.01509
SLC11A2	0.475013
NRAS	0.79516
NUCB2	-0.786302
NUP88	0.0670016
NVL	0.535402
ORC1	2.66833
OXA1L	0.232643
OXCT1	-0.523938
PAFAH1B1	-0.313826
PAFAH1B3	0.449151
SERPINE1	-0.846693
PAK1	0.517115
PCBD1	0.300982
PCCB	0.0481821
PCK2	0.758155
PCM1	-0.516102
PCMT1	0.868516
PCNA	-0.947084
PDGFA	0.0313747
PFKL	-1.96076
PGAM1	1.52904
PGM1	0.769095
PHKA1	-0.927611
PHKB	0.676795
PHKG2	1.05797
PIK3C2B	0.150306
PIK3C3	3.41297
PIK3CA	-1.03789
PIN1	0.478703
PLA2G4A	-0.365474
PLCB3	0.560094
PLK1	-0.204597
PLP2	-0.53303
PLS1	-0.619917
PLSCR1	-1.64223
PMAIP1	0.412828
PMM2	-0.907999
POLB	1.89356
POLE2	0.719105
POLR2I	-0.764188
POLR2K	-1.89559
PPARD	-0.962458
PPARG	-1.23888
PPIC	2.65815
PPOX	-0.877444
PPP2R5A	-0.352458
PPP2R5E	-1.19381
PRCP	2.32877
PRKACA	0.462229
PRKCD	-0.791037
PRKCH	0.63923
PRKCQ	-1.75734
MAPK9	0.457163
MAPK13	-0.183395
MAP2K5	-0.00832388
PRKX	3.47614
PROS1	-0.928816
LGMN	0.158325
HTRA1	-0.932045
PSMB8	-0.68223
PSMB10	-0.170091
PSMD2	0.808581
PSMD4	-0.838995
PSMD9	0.712292
PSMD10	1.10145
PSME1	0.463442
PSME2	0.21776
PTGS2	-0.321262
PTK2	0.402023
PTPN1	0.0856902
PTPN6	0.379408
PTPN12	-0.964332
PTPRC	0.0713256
PTPRF	0.0935213
PTPRK	-0.977828
PXMP2	0.758972
PXN	1.30618
PYCR1	1.00059
PYGL	0.331887
RAB4A	-0.877499
RAB27A	0.331508
RAC2	1.45224
RAD9A	1.26171
RAD51C	0.210195
MOK	-0.837852
RALA	-0.149726
RALB	0.66343
RALGDS	0.134684
RAP1GAP	0.753029
RASA1	1.90074
RB1	-1.1424
KDM5A	-1.11725
RELB	-0.789223
RFC2	-0.517305
RFC5	-0.121863
RFNG	-0.0876983
RFX5	-0.14057
RGS2	0.42115
RHEB	0.405542
RNH1	-0.126535
RPA1	0.87452
RPA2	-1.19807
RPA3	0.453813
MRPL12	0.853946
RPN1	-1.56027
RPS5	0.229733
RPS6	-0.00976076
RPS6KA1	-1.24454
RSU1	0.107021
RTN2	-0.507339
S100A4	-0.576677
S100A13	0.646308
SATB1	-0.801278
SCP2	0.500232
CCL2	0.725516
SDHB	-0.780073
SGCB	-0.931086
SHB	0.0735679
SHC1	-0.0297703
SKIV2L	0.0331883
SKP1	0.189577
SLC1A4	2.47943
SMARCA4	-0.878842
SMARCC1	0.41709
SMARCD2	-2.09823
SNAP25	-0.644378
SNCA	0.258621
SOX2	0.684438
SOX4	-0.321484
SPAG4	-1.44911
SPP1	-0.259212
SPR	-0.10531
SPTAN1	-0.752474
SRC	0.700007
STAT1	-0.665435
STAT3	-0.290904
STAT5B	-0.301776
AURKA	0.765575
STK10	0.344776
STX1A	-0.784606
STX4	0.645044
STXBP1	0.519435
STXBP2	-0.472546
SUPV3L1	-0.50469
SUV39H1	-0.302835
SYK	-0.607929
SYPL1	-0.260222
TARBP1	-1.03489
TBP	0.373032
TBX2	-0.759214
TBXA2R	-0.110519
TCEA2	0.428738
VPS72	0.546245
TCTA	0.99812
DYNLT3	-0.315949
TERT	1.92231
TESK1	0.518767
TFAP2A	0.86908
TFDP1	1.52685
TGFB3	0.870596
TGFBR2	0.855487
TIAM1	0.452131
TIMP2	1.00587
TJP1	-0.738831
TLE1	0.223807
TLR4	0.611985
TSPAN6	-0.234293
TSPAN4	0.720831
TOP2A	1.57623
TP53	-0.300798
TP53BP1	0.704894
TP53BP2	-0.893955
TPD52L2	-0.032463
TPM1	-0.00776275
TSTA3	-0.0219156
TXNRD1	-0.409141
UBE2A	1.3664
UGDH	1.36534
NR1H2	0.553817
USP1	-0.719639
VDAC1	3.4271
WFS1	0.654005
WRB	-0.850617
XBP1	-1.71956
XPNPEP1	-0.306354
ZFP36	-0.0122982
ZNF131	-0.230818
ZMYM2	-0.702355
PAX8	0.118278
CXCR4	0.985123
IFRD2	-0.415227
MAPKAPK3	-0.272114
USP7	0.329832
REEP5	0.383922
ST7	0.524278
KAT6A	-0.32552
PDHX	-0.455645
FOSL1	-1.54957
HMGA2	-0.765799
NCOA3	0.0794979
NRIP1	-2.68316
SMC1A	0.610503
LAGE3	1.47553
AXIN1	-0.228267
CDC45	-0.82368
FZD1	0.418856
FZD7	1.30054
HIST2H2BE	1.32798
PIP4K2B	-0.827949
NCK2	0.706325
DYRK3	0.972486
DUSP11	1.19626
RAE1	-0.571837
PIK3R3	-0.831375
NIPSNAP1	-1.07043
IKBKAP	0.285396
HAT1	-1.28251
MAPKAPK5	0.44641
BHLHE40	0.760051
MKNK1	-0.53204
CASK	-1.0451
AKR7A2	1.05735
RUVBL1	-1.54292
PSMG1	-0.0734981
BECN1	1.26049
MBTPS1	1.51477
EED	-1.01397
CTNNAL1	1.54606
RNMT	2.58384
PEX11A	-0.453944
CREG1	-0.684137
INPP4B	1.12447
IQGAP1	0.984433
SOCS2	0.818031
CFLAR	0.0464947
CDK5R1	0.127095
ST3GAL5	-0.0778443
IER3	-0.20482
SQSTM1	-0.477908
SLC5A6	-0.57732
CPNE3	0.268194
CCNA1	-0.466078
TIMELESS	-0.274574
P4HA2	-0.973593
PLOD3	0.52948
NOL3	0.25903
SLC25A14	-2.10391
MPZL1	-0.0371197
MAP7	-0.886979
DNAJA3	-0.483489
USP14	-0.432127
MTA1	0.450212
PDLIM1	-1.25383
SMC3	-0.178084
PRPF4	0.107999
CCNB2	-0.179582
CCNE2	0.474761
SYNGR3	1.16837
LPAR2	-1.0782
ARHGEF2	0.331381
ZW10	2.01079
AURKB	0.684391
VAPB	0.602095
NOLC1	0.172721
UBE2L6	2.22739
MAPKAPK2	0.343159
CYTH1	-0.0388842
ITGB1BP1	0.480016
BCL7B	-0.445782
COPB2	0.795397
ADGRG1	0.697114
TM9SF2	-2.07247
MAP4K4	0.48129
HOMER2	-0.0230928
SH3BP5	0.551401
PIGB	0.987346
PSMF1	-0.781169
SPTLC2	-0.37163
TBPL1	0.883833
BAG3	0.907884
POLR1C	5.51843
SPAG7	0.133932
FEZ2	0.418403
IKBKE	-0.193318
MTFR1	0.438994
HS2ST1	-0.551452
IPO13	-0.788237
VGLL4	0.230738
NUP93	-2.09322
UBE3C	0.458961
EDEM1	0.743669
TRAM2	-0.395398
CEP57	0.168336
KIAA0100	0.177684
HERPUD1	0.446625
KIAA0355	0.421772
USP6NL	-1.55881
CCP110	-0.574911
MLEC	-0.639433
TATDN2	-0.175155
MRPL19	-1.0802
SCRN1	0.476477
EFCAB14	1.21426
KEAP1	0.074456
MELK	0.0968781
PLEKHM1	0.0452783
C2CD5	-0.40385
KIAA0753	-0.726859
C2CD2L	-1.33196
TOMM70A	-0.7734
KIAA0196	-1.57733
KLHL21	0.938709
ARNT2	0.425377
FAM20B	-0.41647
NCAPD2	-0.568543
PAN2	1.54045
LPGAT1	0.865801
KIF14	0.44226
OXSR1	-0.10988
MVP	0.533913
DMTF1	1.18063
GNPDA1	0.384389
HDAC6	0.470327
PARP2	-0.245416
MAMLD1	0.984218
DNAJB6	-0.0309844
SMC4	-2.39407
ABCC5	-0.163468
ABCB6	1.08296
DNM1L	1.15872
TSPAN3	0.710002
KIF20A	0.904562
ARL4C	-1.01229
TRAP1	0.184503
G3BP1	0.663229
MBNL2	0.0490308
CEBPZ	-0.0533262
SLC25A13	-2.03472
SORBS3	-1.22328
RBM6	-0.427725
TXNDC9	-0.38085
TRIM13	0.0316303
TRIB1	0.587027
MFSD10	-0.935515
SLC35B1	0.469881
TIMM17B	0.76413
AKAP8	-1.14034
STUB1	-2.12392
NET1	-0.835881
SMNDC1	1.57761
PAK4	-0.126122
TNIP1	-0.884113
IKZF1	1.34611
TMEM5	0.368118
HMG20B	0.352705
MYL9	0.00215985
LYPLA1	-0.446167
PPIE	0.528044
VAV3	0.475312
LRRC41	-1.033
CRTAP	-2.31687
VAT1	0.803656
STK25	-0.275726
APPBP2	0.0109372
CHERP	1.49291
HYOU1	1.1344
RPP38	-0.504073
SLC35A1	0.482161
DRAP1	0.605329
PAICS	-0.406162
ST6GALNAC2	1.1593
STAMBP	0.6289
NPRL2	-1.01582
IGF2BP2	2.56171
YKT6	0.478413
CGRRF1	-0.30189
RRAGA	-0.792422
GNB5	1.1236
EBP	0.852573
CNPY3	0.795603
YME1L1	0.426834
TCFL5	0.231676
KDM5B	-0.552136
POP4	-0.569051
ARPP19	-1.26778
ZNF274	0.146997
MTHFD2	-0.248701
WASF3	1.71809
UTP14A	-0.192955
FRS2	0.430944
CLPX	-0.565177
PGRMC1	0.472841
MALT1	-0.519525
CPSF4	-0.529165
BLCAP	-0.515361
TCERG1	-0.531972
RNPS1	2.07624
TOMM34	0.29315
PDIA5	-0.67457
MLLT11	-1.12947
EBNA1BP2	1.01067
TMED10	-0.0414266
ASCC3	0.45913
SLC27A3	1.13614
KIF2C	0.406368
CCDC85B	-0.0691695
TLK2	0.778069
KDELR2	-1.2048
RAB31	-0.324147
B4GAT1	0.730828
PAPD7	-0.539481
UBE2C	-0.378402
DUSP14	2.29584
TOPBP1	0.321845
PRSS23	1.27461
PWP1	0.339262
PKIG	0.402136
CORO1A	-0.56455
LSM6	0.927396
PSIP1	-0.0628951
SLC2A6	-0.618307
NISCH	0.0825403
CHEK2	-0.0703747
PRAF2	1.18693
POLG2	0.679949
CHP1	-0.556647
PNKP	0.350845
ECD	0.723867
DDX42	1.17367
TWF2	-0.817005
CASC3	0.0911524
COG2	1.0502
ATF5	-0.173269
MTF2	-1.24682
PUF60	-1.24298
RAB11FIP2	0.529159
CLSTN1	0.44808
FOXJ3	-0.075738
KIAA0907	0.401577
EPN2	0.181658
SACM1L	-0.00512876
ATF6	0.174807
RPIA	0.0507414
RAB21	-0.450444
SPEN	-0.52756
FBXO21	1.12207
RBM34	0.962975
WDTC1	-0.644351
XPO7	0.335537
TBC1D9B	-1.09963
RRP1B	0.00520781
MYCBP2	-2.04088
CDK19	0.461823
GPATCH8	0.11501
MAST2	-0.879175
DCUN1D4	-0.54957
FCHO1	-0.965692
SNX13	0.578617
ATP11B	-0.448353
JMJD6	0.883226
RRS1	-1.82658
RRP12	-1.32476
SYNE2	-0.526261
PDS5A	-1.16507
CAMSAP2	-1.10849
ATMIN	-0.324494
TRIM2	-0.36885
KIAA1033	-0.355221
USP22	-0.955086
WDR7	1.10753
JADE2	0.804546
ARHGEF12	-0.944563
PPP1R13B	-0.18384
RRP8	0.772149
NUDCD3	-0.716792
SIRT3	1.11093
SLC35A3	-0.3641
ICMT	-0.217432
MACF1	1.81994
SUZ12	0.156282
KAT6B	0.203082
NNT	0.156238
ADAT1	1.85966
TMEM50A	-0.175109
KLHDC2	1.48923
ACOT9	-0.793779
SSBP2	0.609701
NUP62	0.0939041
ARFIP2	3.6357
LSM5	0.185678
PLA2G15	0.514418
TMEM2	1.6262
ZNF318	-0.412373
FBXO7	1.68318
SPDEF	1.70885
BAMBI	-0.759424
BACE2	-0.365113
COG4	-0.848716
MPC2	-0.301282
CLIC4	0.0321751
C2CD2	0.486805
TIPARP	0.14568
TSKU	0.436499
RNF167	0.161439
LRP10	-0.0846536
ZNF451	-0.14725
SENP6	-0.281281
RAI14	-0.405699
KIF1BP	0.330016
TES	0.146314
PHGDH	0.501181
MYCBP	-0.172845
CHIC2	-0.11595
