Genes	PATU8902_6h
SQLE	-0.172557155204847
HMGCS1	-0.375642561996284
INSIG1	-0.374302051085207
HMGCR	-0.260264999272765
C14orf1	0.00220840449443394
CYP51A1	-0.108409065243267
SCD	0.160147050370909
ELOVL6	-0.0375465959947761
HSD17B7	-0.160524928717548
IDI1	-0.240125742056145
IDH1	-0.0191708438349982
ACAT2	0.0411952554115729
FDFT1	-0.0199438583071121
ACSS2	0.14219883193256
DHCR7	0.149684648663566
LSS	0.235479342385578
FGFBP1	0.332347933069832
MVK	0.0536452290569613
MSMO1	-0.228888724021815
LDLR	-0.127100476047315
RDH11	-0.138362131352566
MMAB	0.178622716601281
ALDOC	0.0489228506512027
SC5D	-0.151638085185885
STARD4	-0.245625384824102
SREBF2	0.0609990450450013
PCSK9	0.341998735999358
PANK3	-0.1457193142777
LPIN1	-0.127572550516813
OLMALINC	0.00965173152764187
TMEM97	-0.0403610197972029
TXNIP	-0.258229243958747
PAX8-AS1	0.0133325794351391
POLM	0.362557171064435
ACSL4	-0.0471354825604147
TDRKH	0.0968161950357569
FAM25A	0.316838075944464
ZNF337-AS1	0.363510341078082
DHCR24	0.0627317218593539
HYAL1	0.255686442961854
ACSL3	-0.104600980786637
GPR75-ASB3	0.356088487216111
NSDHL	-0.0606444767708014
BHLHE40	0.00466775651084905
MICA	-0.0171379481681218
CNN3	-0.118425530344973
MYLIP	0.012932802834186
MVD	0.325393200880991
LOC101930071	-0.382742814152768
NINJ1	0.210110268380854
CYB5B	-0.0313328250842595
PKN3	0.223283268874081
ABCA1	0.229489025107087
TM7SF2	0.154854265016347
IFITM1	0.922963842299218
NPC1	-0.0860992992392093
FDPS	0.178210277593476
RNF145	-0.0168154459686285
STXBP1	0.00268005335164379
RNF208	0.414776846073772
LCP1	0.14022234895345
FAM209B	0.270906563733984
DBI	0.0423740210425834
MIR573	-4.63149961523641
HSD17B12	-0.0900443293492739
HBEGF	0.236867342414977
ASB3	-0.307198414683109
MYBBP1A	0.283586793268622
HDDC2	-0.00392448347190211
RRP9	0.31964403490061
RNASEK	0.124736534226098
IFIT2	0.254549980516746
JUN	0.0716953217965539
STX3	-0.0522089213556596
NUDT13	0.36104765416208
MED25	0.319368669463263
LIPG	0.188164952835962
LOC645513	0.00176927092169343
LOC101928794	-0.200370397186362
GAL	0.144955345261854
SYNE2	0.200509693083045
NOL6	0.188823693377009
CASP8AP2	-0.134389593030743
NFKB2	0.389325513370752
AACS	0.0626476214445466
LRP8	0.0345805956632388
ZNF787	0.249561592556136
RARRES3	0.597827947293722
ITGA2	-0.0551890481240447
PDP2	-0.017712110253143
PTMS	0.14963653537891
FAM104B	0.0589668281992406
PAQR4	0.264428559336931
TFRC	-0.0343045969238709
EBP	0.0800733018193505
LIPA	0.0517685239613686
SLC5A3	-0.117035927725072
UCA1	0.278187524996981
RNASET2	-0.0724865885606683
NXN	0.202886950823626
FASN	0.164951595386209
ABL2	-0.0339905978561301
JMJD1C	-0.153805400355185
COL4A3BP	-0.0851525268851505
ID2	0.0816567145881173
DENND5B	-0.0172205235689447
C6orf141	0.374791145872517
UQCRHL	0.017288871335654
SWAP70	-0.083963719798418
RRAGC	-0.102920764197372
AFF4	-0.15284377454725
ING4	0.0820415514762391
CD58	-0.205928531789504
EMC2	-0.152587838804281
KIAA1551	-0.158356320224315
TTLL5	-0.012265074436697
LPCAT3	-0.0948540241871472
NXPE3	-0.0754926027502067
GMPR	0.381190559137411
SLC29A2	0.241708291688306
ZFP30	-0.0984510549819104
PLAT	-0.0556474151712854
SIRT2	0.229277755232159
EGR1	0.159587584287529
GNE	-0.15395750954022
KCTD14	0.611503047479071
LNPEP	-0.160208912708936
NDUFV3	0.0235566530508349
STK19	0.367578846519466
ITPR2	0.0405704493123955
MMP24-AS1	0.187324078636395
ZNF616	0.0717295841754031
ANKRD1	0.148142146426339
ZBTB38	-0.0982479959670437
CDC37L1-AS1	0.283003958703248
ACOT1	-0.157736599339205
GOLGA4	-0.137779130503003
EHD2	0.222217741374933
DST	0.00392328857825586
PCMTD1	-0.0783925060986466
NIPBL	-0.148001841154423
FBXW5	0.226692145207552
MEF2B	0.0702104002907136
CHTF18	0.464202371259854
TRAPPC5	0.0522949829662576
MEF2D	-0.0195227342623365
ZNF514	0.0894311610899252
PANK1	0.0623258663026185
HSPB1	0.063630463945425
DHX37	0.335912054204498
XPA	-0.165866125680146
G0S2	0.535102494082575
OSGIN2	-0.128599472119781
R3HCC1	0.205519689337632
USP34	-0.0898484403583772
TRAPPC2	0.0516526979936049
BCKDK	0.102354780937503
DNAJB4	-0.149484651458232
HLA-DRA	0.341892687936309
PDGFB	0.447712681676599
GRPR	0.204662298536014
INF2	0.316044649937142
DGAT1	0.304365210634026
GEM	-0.00633048478577969
GULP1	0.137914430477294
RUSC2	0.204348510211835
PANDAR	0.46202848336194
RPS14P3	0.301243023155279
TSSC4	0.238730553694809
SLC39A4	0.48417238281079
NUCB2	-0.0571608024975756
MAFF	0.125730884847481
RANBP2	-0.0900781495531797
TCIRG1	0.314428540476659
CCNG2	-0.128643516360964
TBL3	0.394104710772149
RMND5A	-0.107905087841311
CDC42EP1	0.197427877384555
TMEM60	-0.134297230216713
PPAN	0.0884610013098239
CRYBG3	-0.0668137105650386
HAUS3	-0.064728824623681
TTLL12	0.193640303739652
AKAP13	0.0692279620503253
MRPS11	0.151698001193149
C14orf159	0.181441955154424
REV3L	-0.0933461494229908
MYEOV	0.542665865719234
CENPT	0.140660496505431
LPP	-0.0252420486653522
HBP1	-0.141324499787618
MIATNB	0.332236681202206
PCSK1N	0.652076880776686
PPP1R3B	0.0509908332194811
CCDC86	0.178842588269585
AHNAK2	0.173596604923158
STEAP1	0.291602649473147
RIMKLB	-0.0498920118567927
TM4SF19-AS1	-0.326518689271566
GPRC5B	0.227826721536122
AKAP9	-0.0895027131256487
KTN1	-0.104360356478525
TERF2IP	-0.109967243804331
HERC4	-0.0196048281308929
ME1	0.0421653306861982
BOP1	0.26993595059718
NCOR2	0.186914363920491
STIM1	0.118588385632576
MGMT	0.380167322614544
TAOK1	-0.15874448877675
THBS1	0.0485365179345667
ZNF354C	-0.116128850753484
LAGE3	0.0978642154986371
MIR137	3.22098738541484
CENPE	-0.0975769705556706
KBTBD4	0.0652258038715248
