Genes	PAU89988T_6h
SQLE	0.67201565456891
HMGCS1	0.468402477583376
INSIG1	-0.246918343853091
HMGCR	0.256143025893441
C14orf1	1.02422080542879
CYP51A1	0.780040065679743
SCD	0.684795275653434
ELOVL6	0.822187746285112
HSD17B7	0.864605859337545
IDI1	0.565573062232769
IDH1	0.640491694496594
ACAT2	0.817323693323697
FDFT1	0.722759556010825
ACSS2	0.643935796567827
DHCR7	0.758883361564842
LSS	0.827438627028846
FGFBP1	0.48287590462331
MVK	0.594408992926208
MSMO1	0.529922413140166
LDLR	-0.151415026129816
RDH11	0.381472740389603
MMAB	0.503429344794173
ALDOC	0.948530223939177
SC5D	0.675231417238457
STARD4	0.496564022847024
SREBF2	0.615795480347319
PCSK9	0.44299247369065
PANK3	0.207002705795291
LPIN1	0.0258474025200375
OLMALINC	0.816500828718294
TMEM97	0.258420648662911
TXNIP	-0.568852287011441
PAX8-AS1	0.57426421301053
POLM	0.267174848208757
ACSL4	0.701135796417329
TDRKH	0.58559658027169
FAM25A	-0.860613791426848
ZNF337-AS1	0.590349622371312
DHCR24	0.498508443725271
HYAL1	0.379547239492431
ACSL3	0.264009014663156
GPR75-ASB3	-1.11190954108525
NSDHL	0.286780053123756
BHLHE40	0.161977806962847
MICA	0.449778066674116
CNN3	0.253031081695889
MYLIP	0.490976427519376
MVD	0.670942782569089
LOC101930071	-1.60943666000814
NINJ1	-0.502558587414523
CYB5B	0.312755749758376
PKN3	-0.25001438997101
ABCA1	-0.547149530814102
TM7SF2	0.890869534322908
IFITM1	-0.0909873209175904
NPC1	0.0645432015663543
FDPS	0.564019774837539
RNF145	0.162156145599176
STXBP1	0.29651321600893
RNF208	-0.780100334788759
LCP1	0.45222115665932
FAM209B	-0.747777884025778
DBI	0.345225368216797
MIR573	-0.0946164380115452
HSD17B12	0.352278742134162
HBEGF	0.0313634845236246
ASB3	0.257785535800148
MYBBP1A	0.00637739582592101
HDDC2	0.178147241878414
RRP9	-0.0861370670368782
RNASEK	0.155983437956568
IFIT2	-0.148096221271245
JUN	0.152165306799213
STX3	0.286958825305736
NUDT13	-0.522080992007892
MED25	-0.144142462989246
LIPG	0.19308373781175
LOC645513	-0.816721411529131
LOC101928794	0.67490866197604
GAL	-0.0951490549050823
SYNE2	0.29262837040827
NOL6	-0.0201796978558297
CASP8AP2	0.203220574721339
NFKB2	-0.157604897765735
AACS	0.149390237379339
LRP8	0.59315431311782
ZNF787	0.111032464700871
RARRES3	-0.654383556605726
ITGA2	0.471478508251226
PDP2	0.222001884561293
PTMS	0.616224131428526
FAM104B	0.284903529127079
PAQR4	0.0634748719847025
TFRC	-0.0682418126411619
EBP	0.466159220708679
LIPA	0.293160814653366
SLC5A3	0.397720288812892
UCA1	0.41937302792677
RNASET2	-0.169325163533861
NXN	-0.231481400038622
FASN	0.362594835092921
ABL2	0.216039009322758
JMJD1C	0.194686407560254
COL4A3BP	0.306937629183345
ID2	0.505537682333988
DENND5B	0.102430400624602
C6orf141	-0.584612003247872
UQCRHL	0.549855937019926
SWAP70	0.214963920475403
RRAGC	0.0145899254924711
AFF4	0.0808603542892543
ING4	-0.432088810135796
CD58	0.522904509361168
EMC2	0.145346647868061
KIAA1551	0.303681038778343
TTLL5	0.354894739568707
LPCAT3	-0.252324924206296
NXPE3	0.297331542000964
GMPR	0.232909629898149
SLC29A2	0.0473607981629889
ZFP30	-0.104018095267085
PLAT	0.440878681679614
SIRT2	0.238329711568821
EGR1	0.121804797673382
GNE	-0.0297797147703491
KCTD14	0.703573168109925
LNPEP	0.0220698381878943
NDUFV3	0.354599002986709
STK19	-0.913604003255295
ITPR2	0.428844275929235
MMP24-AS1	-0.23443340345261
ZNF616	0.0874222588723534
ANKRD1	0.358223984320056
ZBTB38	0.155780294140123
CDC37L1-AS1	-1.88216248179269
ACOT1	-0.0409969803476629
GOLGA4	0.261733991190466
EHD2	0.346653136696225
DST	0.200002075118976
PCMTD1	0.161672886654424
NIPBL	0.218458447676855
FBXW5	-0.304136379289661
MEF2B	0.507220883217234
CHTF18	-0.277616192291076
TRAPPC5	0.0479974446062119
MEF2D	-0.134408632610138
ZNF514	0.543574532658208
PANK1	0.296055862349038
HSPB1	0.362533091446771
DHX37	0.0539074058828302
XPA	0.296510850319648
G0S2	0.313562117842858
OSGIN2	0.0855906050722313
R3HCC1	-0.201291677982636
USP34	0.146874693042122
TRAPPC2	-0.340078541873213
BCKDK	0.0654319140940132
DNAJB4	0.120302654028696
HLA-DRA	-0.688223474518638
PDGFB	-0.258879705448525
GRPR	0.345624158443176
INF2	-0.108177999188939
DGAT1	-0.181243133330127
GEM	0.516452605941189
GULP1	0.321534236723704
RUSC2	-0.0843457127463467
PANDAR	0.463859428357187
RPS14P3	0.705089219642576
TSSC4	-0.217919243876774
SLC39A4	0.11170971086816
NUCB2	0.39884936589769
MAFF	-0.106457315632161
RANBP2	0.198210199049909
TCIRG1	-0.303129078502681
CCNG2	-0.135373730089782
TBL3	-0.219321671491743
RMND5A	0.0640358326280772
CDC42EP1	0.0529767204989451
TMEM60	-0.272905494845544
PPAN	0.0403974599734269
CRYBG3	0.26102563657617
HAUS3	0.140930782780326
