"","PAU89988T_6h","PAU89988T_24h","PATU8902_6h","PATU8902_24h","AveExpr","F","P.Value","adj.P.Val"
"SQLE",0.67201565456891,1.53875893796534,-0.172557155204847,0.22509439918067,7.55747846893311,223.451345805595,9.65564853125817e-14,1.29279478185016e-09
"HMGCS1",0.468402477583376,1.73744818730496,-0.375642561996284,0.505819070893552,6.1685360024256,148.167081304399,2.33238472068609e-12,1.5614149512633e-08
"INSIG1",-0.246918343853091,1.52869956481577,-0.374302051085207,0.616830043315167,5.06264273306052,109.139395181638,2.43493293159756e-11,1.08671056737199e-07
"HMGCR",0.256143025893441,1.1041204537951,-0.260264999272765,0.346485038863019,6.615928482906,82.6761441239311,2.00137469073561e-10,5.55066719121511e-07
"C14orf1",1.02422080542879,1.11241248890087,0.00220840449443394,0.0546271492153796,5.95135901245869,82.2920649741172,2.07284606438685e-10,5.55066719121511e-07
"CYP51A1",0.780040065679743,1.33407990413811,-0.108409065243267,0.262289455614173,7.03643316620423,70.910101180575,6.33470993134215e-10,1.413590521179e-06
"SCD",0.684795275653434,0.949615041126025,0.160147050370909,0.418138075190237,8.03085781760128,63.9869519259721,1.36174481917261e-09,2.37800477285071e-06
"ELOVL6",0.822187746285112,0.99309228792133,-0.0375465959947761,0.13104545300826,5.33422263285452,63.6216612628854,1.42087072841928e-09,2.37800477285071e-06
"HSD17B7",0.864605859337545,1.82145928329126,-0.160524928717548,0.313058503376676,3.57421621851467,58.7991346076733,2.54673019645563e-09,3.41868918561215e-06
"IDI1",0.565573062232769,1.44402631948905,-0.240125742056145,0.443335222765325,6.97449083772984,58.7784418920209,2.55335662529849e-09,3.41868918561215e-06
"IDH1",0.640491694496594,0.737562795069655,-0.0191708438349982,0.164827723537796,6.39707597300195,50.1524731030804,8.18394329919415e-09,9.96134698481004e-06
"ACAT2",0.817323693323697,0.995405488349224,0.0411952554115729,0.0903941488596391,7.96598238733492,39.1950297688647,4.84557677324678e-08,5.4064522847501e-05
"FDFT1",0.722759556010825,1.16396712860458,-0.0199438583071121,0.0575913442435061,8.1923121068997,37.3482193206681,6.82985943345552e-08,7.03422984265661e-05
"ACSS2",0.643935796567827,1.02449835240067,0.14219883193256,-0.019924600212021,4.14762326772902,36.3664128936403,8.24819729700356e-08,7.86010621580431e-05
"DHCR7",0.758883361564842,1.37391722152671,0.149684648663566,-0.000284734726350599,6.04925413870695,36.0314074303963,8.80585504795464e-08,7.86010621580431e-05
"LSS",0.827438627028846,1.18377349683351,0.235479342385578,0.00296825903390285,3.67668849586755,35.0902988575936,1.06136016837576e-07,8.88159455898941e-05
"FGFBP1",0.48287590462331,1.01941223398014,0.332347933069832,0.33933751045522,4.6532250990142,33.729094079062,1.40160858873201e-07,0.000110389043497252
"MVK",0.594408992926208,1.15165725740935,0.0536452290569613,-0.0154352723949209,3.84909779684855,33.4269273172988,1.49285288240913e-07,0.000111043373569865
"MSMO1",0.529922413140166,1.60453277535148,-0.228888724021815,0.642860306136559,6.2905829463718,32.4112570180213,1.85228963147764e-07,0.00013052792566239
"LDLR",-0.151415026129816,0.647045823065035,-0.127100476047315,0.201079034884454,5.57987182827783,31.4775012423011,2.2706261904156e-07,0.000152007070317372
