Gene	log2(fold change)
ALDH5A1	-0.550645151
ALG11	-0.820270845
ANKIB1	-0.338961238
BACH1	-0.583556608
BBS9	-0.658362598
BTD	-0.391686836
C10orf32-ASMT	-0.682695445
C16orf93	1.660942949
C2orf54	0.66301953
CACHD1	-0.353347278
CDK3	0.469926973
CHAC1	0.475539387
CXCL1	0.477355183
DCK	-0.627048873
DERL3	-0.43608749
DHFRL1	-0.396371521
DTX2P1-UPK3BP1-PMS2P11	0.727639286
DUSP28	0.551455531
EGLN1	-0.395970296
EPHA6	-0.586999592
ERICH5	0.989756719
FAM117B	-0.520309638
FAM228B	-0.512553144
FAM47E	-1.460275471
FAM72A	-1.163470759
FER	-0.68371062
FKBP1AP1	-0.940993258
FNDC3A	-0.387236807
GEM	-0.814196742
GJA3	-0.327046272
GPX3	0.36515435
GPX7	0.675074203
HOXA4	-0.91167955
IL20RB	0.623916614
INTS2	-0.42414733
INTS6-AS1	-1.479893924
IQCJ-SCHIP1	0.611735032
KBTBD6	-0.599089352
KIAA1804	-0.345411515
KLC3	0.689100583
LBX2	-1.461573962
LCA5	-0.548460406
LINC01123	-1.16025535
LOC100131564	-0.518266163
LOC100507564	1.188441688
LPIN1	-0.328952517
LYPD5	0.701673289
LYPD6B	-0.333018096
MAP3K1	-0.473642955
MAP3K14-AS1	-1.21521327
MEOX2	-0.32525823
MIR497HG	-2.080747063
MKL2	-0.355920639
MTRF1L	-0.326078859
MXI1	-0.331797934
MYB	-0.45449305
NS3BP	1.045811163
OAS1	0.325838604
PDE6B	0.347577722
PDLIM2	0.470010834
PIFO	-0.542088729
PIK3AP1	-0.94508183
PLAU	0.574461833
PLEKHF2	-0.876079643
PLEKHO1	0.431009998
PPP1R1C	0.507440441
PRKRIP1	0.344124247
PRR7-AS1	1.175673215
PTHLH	1.188932476
RAB3C	-1.0771059
RAB40A	-0.816682617
RARA-AS1	0.973117074
RASEF	-0.339008802
RNF215	0.357382548
RNU11	1.071529309
RPL21P44	1.159986488
RPSAP52	1.187301685
S100A3	0.652518736
SDC4	0.324315126
SERHL2	0.413805588
SERPINA3	0.451709133
SHISA2	-1.111674231
SLC13A3	0.445646615
SLC9B2	-0.324726604
SMG1	-0.413364557
SMKR1	-0.40311671
SNTB1	-0.362239091
SPAG4	0.533557118
SQLE	-0.488448489
STX5	0.33257085
SYT9	0.515536328
TGFB1I1	1.040335079
TGFB2	-0.596031206
TIRAP	0.661959995
TMEM163	-0.3695635
TMEM19	-0.36537099
TNFSF13	0.558957075
TP53I3	0.345860219
TRHDE	-0.530883753
TRIM31	0.635269324
TRIM38	0.32400608
TRIM52-AS1	0.359593164
WNT10A	0.707865853
ZBTB34	-0.335106244
ZNF367	-0.391224038
ZSCAN5A	0.366447628
