,TF (HGNC),Normalised Enrichment Score (NES)
1,<a href='https://www.uniprot.org/uniprot/O14978' target='_blank'>ZNF263</a>,2.4085674114807
2,<a href='https://www.uniprot.org/uniprot/Q14653' target='_blank'>IRF3</a>,-2.02182153547579
3,<a href='https://www.uniprot.org/uniprot/Q9NVV9' target='_blank'>THAP1</a>,-1.40465538573853
4,<a href='https://www.uniprot.org/uniprot/P42224' target='_blank'>STAT1</a>,1.28158200539502
5,<a href='https://www.uniprot.org/uniprot/Q9GZV8' target='_blank'>PRDM14</a>,-1.23301058181569
6,<a href='https://www.uniprot.org/uniprot/O95365' target='_blank'>ZBTB7A</a>,1.23086821026406
7,<a href='https://www.uniprot.org/uniprot/Q9H334' target='_blank'>FOXP1</a>,1.08589754412905
8,<a href='https://www.uniprot.org/uniprot/Q16254' target='_blank'>E2F4</a>,0.45159734864919
9,<a href='https://www.uniprot.org/uniprot/Q96EK4' target='_blank'>THAP11</a>,-0.393870071515357
10,<a href='https://www.uniprot.org/uniprot/Q04206' target='_blank'>RELA</a>,0.335494432679779
